2026-02-25 19:45:23,592 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:45:25,714 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:45:25,715 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:45:25,738 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:45:28,822 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:45:30,905 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:45:30,907 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:45:30,936 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:45:32,823 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:45:34,025 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:45:36,124 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:45:36,124 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:45:36,156 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:45:39,330 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:45:41,432 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:45:41,432 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:45:41,448 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:45:42,897 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:45:44,543 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:45:46,642 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:45:46,642 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:45:46,665 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:45:49,763 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:45:51,878 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:45:52,231 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:45:52,439 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:45:52,967 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:45:55,860 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:45:57,947 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:45:58,049 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:45:58,190 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:46:01,327 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:46:03,213 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:46:03,627 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:46:03,760 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:46:04,000 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:46:07,448 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:46:09,550 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:46:09,550 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:46:09,671 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:46:13,008 | WARNING | computefabric_node | gpu_vram_query_failed
